days,val,se,Spec
3152.6,-5.73,2.3,1
3207.508,14.86,3.62,1
3577.496,-10.66,2.46,1
3809.894,-5.74,2.5,1
3810.784,-9.01,2.38,1
3812.782,-12.44,2.52,1
3816.81,-18.64,2.48,1
4173.818,-13.5,2.38,1
4293.586,3.7,2.54,1
4296.593,4.26,2.74,1
4299.598,12.25,2.76,1
4300.558,1.93,2.58,1
4646.569,5.33,2.46,1
4658.564,2.59,2.64,1
4666.543,-6.97,2.44,1
4878.864,-3.26,2.34,1
4879.83,-3.48,2.5,1
4881.874,-6.51,2.32,1
4882.854,-4.17,2.32,1
4883.862,-2.57,2.7,1
4884.835,-5.43,2.54,1
4885.875,-2.85,2.4,1
4886.844,-9.13,2.62,1
4989.652,-27.03,2.46,1
4992.65,-18.96,2.54,1
5053.556,4.09,2.54,1
5057.538,-5.85,2.52,1
5275.772,37.59,2.82,1
5276.871,33.46,3.04,1
5277.806,37.83,2.9,1
5278.791,40.63,2.92,1
5279.792,43.44,3.54,1
5280.794,40.1,2.72,1
5281.76,33.97,2.9,1
5282.814,34.46,2.6,1
5283.779,38.86,2.72,1
5292.803,19.32,2.54,1
5611.807,19.89,2.54,1
5641.751,-1.44,2.6,1
5644.791,-5.17,2.3,1
5645.759,-14.58,2.52,1
5648.829,-19.63,2.52,1
5653.65,-26.89,2.46,1
5656.651,-28.6,2.52,1
5659.778,-31.41,2.6,1
5663.628,-24.69,2.9,1
5673.722,-23.41,2.78,1
5715.561,37.87,3.32,1
6310.841,13.02,2.78,1
6320.867,10.71,2.56,1
6322.828,13.19,2.66,1
6354.821,22.02,2.8,1
6356.805,13.67,2.66,1
6361.839,10.52,2.56,1
6362.881,11.51,2.72,1
6363.778,6.37,2.72,1
6365.818,-1.1,2.64,1
6366.795,-2.44,2.94,1
6367.773,0.67,2.8,1
6369.755,-3.05,2.46,1
6370.748,-4.45,2.44,1
6371.805,-7.98,2.44,1
6373.738,-8.38,2.48,1
6374.764,-3.44,2.82,1
6417.712,0.75,2.06,1
6418.721,-3.18,2,1
6419.671,1.42,2.52,1
6420.624,-3.57,2.04,1
6421.505,-3.51,2.78,1
6423.668,-4.95,2.56,1
6424.57,-3.45,2.46,1
6426.592,0.29,2.14,1
6427.491,-1.56,2.8,1
6428.518,1.18,3,1
6656.807,11.1,2.38,1
6657.809,18.75,2.2,1
6658.82,7.17,2.2,1
6659.831,8.6,2.32,1
6660.838,13.84,2.48,1
6661.83,13.5,2.28,1
6663.856,5.81,2.3,1
6663.87,-0.1,2.3,1
6665.796,5.93,2.32,1
6665.867,7.3,2.32,1
6666.826,4.04,2.18,1
6667.808,2.87,2.16,1
6667.863,15.67,2.16,1
7410.868,-5.62,3.02,2
7412.867,1.37,2.52,2
7413.87,2.88,2.42,2
7414.871,4.46,2.58,2
7415.879,4.99,2.54,2
7416.872,9.71,2.42,2
7417.879,9.38,2.02,2
7420.883,14.93,2.26,2
7421.88,14.32,2.46,2
7422.868,14.68,2.2,2
7423.876,19.79,2.4,2
7425.883,17.26,2.38,2
7427.883,18.02,2.34,2
7428.88,20.54,2.3,2
7429.882,26.64,2.48,2
7431.887,22.7,2.36,2
7432.883,21.34,2.46,2
7433.891,16.69,2.68,2
7434.88,18.11,2.48,2
7436.859,21.04,2.52,2
7437.862,24.43,2.38,2
7438.858,20.73,2.58,2
7439.858,25.4,2.6,2
7440.863,25.79,2.72,2
7442.869,32.88,2.62,2
7445.871,28.3,2.84,2
7446.872,31.31,2.48,2
7447.877,32.37,2.46,2
7448.88,30.54,2.68,2
7449.876,34.54,2.02,2
7450.897,31.74,2.72,2
7452.879,40.48,2.44,2
7453.912,34.22,2.64,2
7454.908,35.39,2.84,2
7455.909,34.06,2.58,2
7456.908,33.23,2.74,2
7457.882,32.71,2.44,2
7458.898,32.09,2.72,2
7460.883,33.12,2.02,2
7461.884,31.06,2.38,2
7462.888,25.59,2.46,2
7463.89,26.02,2.94,2
7466.913,24.38,2.48,2
7467.91,14.01,2.54,2
7473.889,-1.83,3.14,2
7474.894,-2.64,2.48,2
7475.892,-3.27,2.28,2
7476.889,-6.88,2.54,2
7477.898,-6.42,2.78,2
7905.547,4.11,2.18,2
7934.642,-7.44,3.24,2
7935.656,1.39,2.8,2
7936.622,-9.2,3.1,2
7937.642,-5.7,3.18,2
7942.575,-12.27,2.6,2
7943.561,-11.82,2.62,2
7944.545,-13.06,2.48,2
7945.592,-9.78,2.54,2
7946.54,-6.56,2.36,2
7948.654,-15.86,2.08,2
7951.463,-13.89,3.54,2
7952.64,-15.55,2.9,2
7953.473,-8.47,2.82,2
7954.628,-23.74,2.54,2
7955.637,-19.77,3.32,2
7956.473,-1.96,2.6,2
7959.473,-7.9,2.54,2
7960.463,-4.18,2.54,2
7961.485,-9.4,3.04,2
7962.471,-11.99,2.34,2
7964.473,-5.22,3.14,2
7965.476,-11.2,4,2
7966.474,-4.07,2.8,2
7967.509,-3.54,4.1,2
7968.479,-3.98,2.88,2
7969.471,-1.58,2.66,2
7970.476,-2.37,2.6,2
7971.467,1.69,2.02,2
7972.465,0,2.96,2
7973.466,8.99,3.38,2
7974.463,4.09,2.62,2
7979.459,10.41,2.44,2
7980.461,4.43,2.5,2
7981.505,-0.84,2.42,2
7984.504,-6.51,2.8,2
7985.504,-3.33,3.18,2
7987.525,-10.17,2.8,2
7990.49,-6.76,2.7,2
7991.508,3.22,2.96,2
7992.503,-4.88,2,2
7993.49,-10.15,2.84,2
7994.475,-13.7,2.66,2
7995.478,-0.58,2.18,2
7996.48,-5.85,2.7,2
7997.468,-1.64,2.94,2
7998.482,0.45,3.12,2
8000.478,-2.35,3.28,2
8001.491,-0.2,2.02,2
8002.476,-0.72,2.84,2
8007.528,1.64,3.32,2
8011.489,-8.94,3.12,2
8012.476,0.66,2.42,2
8013.475,-4.94,2.62,2
8018.513,-23.92,2.78,2
8019.479,-19.87,2.64,2
8020.483,-30.47,2.02,2
8025.474,-17.03,3.3,2
8026.478,-19.32,2.96,2
8524.857,13.21,0.49,3
8532.702,11.72,0.52,3
8533.832,10.95,0.48,3
8535.892,7.28,0.51,3
8537.764,5.56,0.58,3
8540.869,2.1,0.97,3
8540.882,1.92,1,3
8541.876,0.9,0.7,3
8541.89,-0.07,0.74,3
8542.899,-0.2,0.65,3
8543.8,-0.56,0.46,3
8544.709,-1.56,0.53,3
8550.864,-3.25,0.42,3
8555.796,-2.8,0.41,3
8560.872,-1.1,0.45,3
8561.789,-1.18,0.7,3
8561.845,-3.48,0.55,3
8562.865,-1.17,0.46,3
8568.878,1.27,0.48,3
8573.671,1.75,0.45,3
8599.913,-1.72,0.9,3
8600.888,-0.94,0.97,3
8602.9,4.48,0.5,3
8603.782,5.49,0.55,3
8604.575,5.82,0.84,3
8604.61,5.85,0.89,3
8604.713,6.67,0.79,3
8606.785,10.25,0.51,3
8608.776,13.14,0.47,3
8609.679,11.92,0.64,3
8612.853,15.42,0.72,3
8614.496,14.03,0.88,3
8616.559,14.51,0.49,3
8622.648,7.22,0.54,3
8624.752,3.71,0.77,3
8625.75,3.13,0.65,3
8626.609,2.09,0.52,3
8628.766,0.46,0.61,3
8633.532,-1.15,0.49,3
8635.789,-0.22,0.9,3
8637.481,0.3,0.54,3
8638.604,1.04,0.55,3
8639.672,-1.25,0.72,3
8642.711,0.85,0.44,3
8645.576,-1.78,0.72,3
8645.625,-1.93,0.93,3
8647.71,-1.57,1.03,3
8667.58,-7.19,0.76,4
8678.597,-8.3,0.42,4
8684.58,-1.34,0.44,4
8688.515,4.84,0.61,4
8700.565,19.49,0.56,4
8706.494,14.2,0.41,4
8716.505,-0.87,0.39,4
8718.512,-3.31,0.54,4
8720.497,-2,0.59,4
8726.485,-2.08,0.77,4
8731.485,0,0.43,4
8737.484,-0.26,0.51,4
8741.472,-1.53,0.5,4
8752.476,-10.18,0.95,4
8753.474,-9.84,0.45,4
