days,val,se
7396.812,1.05069,0.00354
7396.813,1.05317,0.00319
7396.814,1.05458,0.00327
7396.814,1.05318,0.00386
7407.786,1.03906,0.00279
7407.787,1.03944,0.00282
7407.787,1.03477,0.00279
7408.803,1.03399,0.00271
7408.804,1.03136,0.00271
7408.804,1.02841,0.00268
7411.19,1.04366,0.00503
7411.191,1.04359,0.00526
7411.192,1.04189,0.00547
7415.879,1.01454,0.00493
7415.88,1.01423,0.00509
7416.758,1.01069,0.00307
7416.759,1.01534,0.00306
7416.76,1.01383,0.00319
7416.879,1.01746,0.00449
7416.88,1.01005,0.00455
7417.879,1.01171,0.00424
7417.88,1.02243,0.00436
7417.88,1.0226,0.00445
7418.753,1.01172,0.00284
7418.787,1.0425,0.00441
7418.788,1.0487,0.00457
7418.789,1.05107,0.0047
7419.251,1.00635,0.00365
7419.251,1.01408,0.00392
7419.252,1.00177,0.00378
7420.747,1.00955,0.00516
7420.747,1.00663,0.00459
7420.748,1.00844,0.00466
7420.88,1.00066,0.00279
7420.881,1.00928,0.00286
7420.881,1.00479,0.00284
7421.88,0.99081,0.00267
7421.88,0.99241,0.00251
7421.881,0.99301,0.00255
7423.845,1.00006,0.00275
7423.845,0.99928,0.00268
7423.846,1.00148,0.00258
7424.879,1.01043,0.00243
7424.88,1.00754,0.00236
7424.88,1.00184,0.0024
7425.136,1.00514,0.0073
7425.137,1.00314,0.01126
7425.733,0.99716,0.00438
7425.734,1.00314,0.00449
7425.734,0.99971,0.00425
7425.738,0.99735,0.00245
7425.739,0.99103,0.00253
7425.74,0.99879,0.00253
7426.124,1.01278,0.00474
7426.124,1.01027,0.00499
7426.125,0.99501,0.00572
7426.886,1.00673,0.00237
7426.887,1.00033,0.00235
7426.888,1.00139,0.00236
7427.845,1.00607,0.00231
7427.846,1.01195,0.0023
7427.847,1.00551,0.00236
7429.8,0.98808,0.00255
7429.801,0.99366,0.00239
7429.802,0.99924,0.00237
7429.883,0.99884,0.00425
7431.129,0.98421,0.0049
7431.13,0.99123,0.005
7431.13,0.99377,0.00506
7431.889,0.99101,0.00436
7431.89,0.9937,0.00411
7431.891,0.99593,0.00427
7433.827,1.01221,0.00258
7433.828,0.99726,0.00259
7433.828,0.98728,0.0027
7433.88,0.99292,0.00431
7433.88,1.00121,0.0042
7434.727,0.99055,0.00288
7434.727,0.99167,0.00276
7434.728,0.9915,0.00285
7434.882,0.99144,0.00397
7434.883,0.99157,0.0042
7434.884,1.00521,0.00422
7437.879,0.98735,0.00437
7438.894,0.98676,0.00424
7438.894,0.99711,0.00421
7439.882,0.98428,0.00468
7439.883,0.98816,0.00437
7439.884,0.98623,0.0045
7439.893,1.01173,0.00237
7439.894,1.01705,0.0024
7439.895,1.00662,0.00244
7441.893,0.9842,0.00336
7441.893,0.98712,0.00329
7441.894,0.98535,0.00336
7443.076,0.98248,0.00313
7443.077,0.98029,0.00331
7443.077,0.99283,0.00318
7443.877,0.99033,0.0037
7443.878,0.99125,0.00378
7443.879,0.98811,0.00361
7445.881,0.96936,0.00313
7445.881,0.96668,0.0031
7445.882,0.96893,0.00314
7446.898,0.97029,0.00307
7446.898,0.96946,0.00307
