days,val,se
1634.731,3.41,0.6
1654.614,0.18,0.72
1681.775,-2.72,0.75
1688.549,2.32,0.59
1707.625,0.16,0.57
1737.53,-1.85,0.79
1740.578,1.58,0.67
1761.552,-1.2,0.51
1818.499,-1.57,0.73
1919.844,-0.28,0.58
1946.808,-0.07,0.6
2118.517,-0.71,0.7
2119.5,-2.11,0.69
2120.498,-1.56,0.55
2121.503,1.26,0.54
2122.503,1.02,0.55
2123.514,1.34,0.51
2124.507,0.99,0.57
2125.503,-0.1,0.51
2126.507,0.33,0.51
2127.501,-0.41,0.55
2128.508,-1.51,0.58
2129.516,-1.65,0.55
2130.519,-2.31,0.54
2131.502,-1.87,0.56
2134.519,0.94,0.65
2135.536,-0.14,0.64
2308.86,-3,0.52
2320.841,0.63,0.67
2336.852,0.21,0.39
2380.678,-1.44,0.67
2394.732,-2.2,0.58
2415.596,-0.68,0.83
2424.621,0.21,0.65
2425.65,0.38,0.78
2437.549,0.86,0.59
2482.643,-0.66,0.84
2490.595,-1.29,0.84
2530.506,-0.85,0.62
2532.509,-1.13,0.59
2657.834,-2.36,0.68
2659.799,-1.36,0.67
2684.825,-1.89,0.73
2709.692,-3.25,0.64
2743.836,1.67,0.61
2761.519,-0.57,0.63
2767.896,-1.75,0.81
2788.496,1.76,0.69
3071.883,-2.56,0.64
3076.889,-4.35,0.71
3088.838,2.98,0.57
3090.887,0.27,0.68
3095.895,3.87,0.72
3096.879,5.29,0.68
3098.795,2.64,0.64
3112.69,-2.72,1.39
3118.556,0.48,0.69
3125.694,-3.21,0.62
3128.599,2.31,0.62
3133.535,1.73,0.78
3207.486,0.45,0.73
3394.854,-3.23,0.61
3413.836,0.81,0.69
3430.843,-1.04,0.56
3443.87,2.85,0.6
3453.767,3.1,0.62
3465.827,-0.83,0.78
3487.687,4.09,0.67
3495.729,3.43,0.64
3520.52,2.43,0.89
3748.863,1.4,0.66
3783.715,1.82,0.66
3813.684,-1.32,0.64
3823.61,1.25,0.67
4170.86,-0.12,0.62
4188.884,-2.44,0.64
4189.713,-2.42,0.69
3152.6,0.17,1.15
3207.508,-0.99,1.81
3577.496,1.98,1.23
3809.894,-1.49,1.25
3810.784,-0.15,1.19
3812.782,1.59,1.26
3816.81,-3.43,1.24
4173.818,0.14,1.19
4293.586,1.33,1.27
4296.593,0.14,1.37
4299.598,4.76,1.38
4300.558,-2.48,1.29
4646.569,0.65,1.23
4658.564,1.69,1.32
4666.543,0.12,1.22
4878.864,-0.02,1.17
4879.83,1.91,1.25
4881.874,0.14,1.16
4882.854,-0.48,1.16
4883.862,0.51,1.35
4884.835,1.53,1.27
4885.875,0.02,1.2
4886.844,-0.44,1.31
4989.652,2.38,1.23
4992.65,1.58,1.27
5053.556,1.04,1.27
5057.538,-0.56,1.26
5275.772,3.47,1.41
5276.871,3.83,1.52
5277.806,1.85,1.45
5278.791,2.9,1.46
5279.792,2.61,1.77
5280.794,-0.44,1.36
5281.76,-2.82,1.45
5282.814,-3.69,1.3
5283.779,-3.72,1.36
5292.803,-1.29,1.27
5611.807,7.08,1.27
5641.751,-0.92,1.3
5644.791,0.82,1.15
5645.759,2.35,1.26
5648.829,1.75,1.26
5653.65,0.87,1.23
5656.651,2.39,1.26
5659.778,1.08,1.3
5663.628,2.73,1.45
5673.722,4.28,1.39
5715.561,1.42,1.66
6310.841,-0.78,1.39
6320.867,0.54,1.28
6322.828,-0.93,1.33
6354.821,-1.07,1.4
6356.805,-0.19,1.33
6361.839,-0.2,1.28
6362.881,-1.86,1.36
6363.778,-1.3,1.36
6365.818,-3.58,1.32
6366.795,-3.68,1.47
6367.773,-5.78,1.4
6369.755,-3.93,1.23
6370.748,-4.46,1.22
6371.805,-2.93,1.22
6373.738,0.81,1.24
6374.764,-2.61,1.41
6417.712,2.02,1.03
6418.721,-1.07,1
6419.671,-1.31,1.26
6420.624,-1.25,1.02
6421.505,5.3,1.39
6423.668,-2.25,1.28
6424.57,-1.5,1.23
6426.592,0.72,1.07
6427.491,6.18,1.4
6428.518,6.67,1.5
6656.807,1.54,1.19
6657.809,-0.47,1.1
6658.82,-1.52,1.1
6659.831,1.21,1.16
6660.838,-0.8,1.24
6661.83,1.13,1.14
6663.856,1.86,1.15
6663.87,1.86,1.15
6665.796,2.86,1.16
6665.867,2.86,1.16
6666.826,3.28,1.09
6667.808,0.83,1.08
6667.863,0.83,1.08
7410.868,3.72,1.51
7412.867,5.34,1.26
7413.87,6.57,1.21
7414.871,2.53,1.29
7415.879,3.04,1.27
7416.872,2.77,1.21
7417.879,2.2,1.01
7420.883,1.81,1.13
7421.88,3.25,1.23
7422.868,1.04,1.1
7423.876,1.78,1.2
7425.883,4.69,1.19
7427.883,2.81,1.17
7428.88,0.92,1.15
7429.882,-2.1,1.24
7431.887,1.7,1.18
7432.883,-0.6,1.23
7433.891,2.42,1.34
7434.88,2.02,1.24
7436.859,3.77,1.26
7437.862,3.82,1.19
7438.858,2.05,1.29
7439.858,3.05,1.3
7440.863,1.89,1.36
7442.869,-1.05,1.31
7445.871,3.79,1.42
7446.872,3.13,1.24
7447.877,2.56,1.23
7448.88,3.4,1.34
7449.876,3.09,1.01
7450.897,3.41,1.36
7452.879,0.94,1.22
7453.912,0.52,1.32
7454.908,-0.14,1.42
7455.909,2.7,1.29
7456.908,0.88,1.37
7457.882,2.31,1.22
7458.898,1.54,1.36
7460.883,0,1.01
7461.884,0.75,1.19
7462.888,-0.5,1.23
7463.89,-1.08,1.47
7466.913,-1.22,1.24
7467.91,-3.08,1.27
7473.889,-1.04,1.57
7474.894,-2.59,1.24
7475.892,0.59,1.14
7476.889,-1.77,1.27
7477.898,0.36,1.39
7905.547,-0.17,1.09
7934.642,-4.07,1.62
7935.656,-2.22,1.4
7936.622,-1.98,1.55
7937.642,1.57,1.59
7942.575,-0.03,1.3
7943.561,0.61,1.31
7944.545,-2.24,1.24
7945.592,-2.5,1.27
7946.54,-0.5,1.18
7948.654,-2.9,1.04
7951.463,-0.5,1.77
7952.64,0.82,1.45
7953.473,-2.63,1.41
7954.628,-3.98,1.27
7955.637,-2.36,1.66
7956.473,-0.26,1.3
7959.473,-1.15,1.27
7960.463,-2.18,1.27
7961.485,1.29,1.52
7962.471,1.34,1.17
7964.473,-0.72,1.57
7965.476,0.93,2
7966.474,-2.33,1.4
7967.509,0.57,2.05
7968.479,-0.66,1.44
7969.471,-0.73,1.33
7970.476,-1.69,1.3
7971.467,-0.94,1.01
7972.465,1.04,1.48
7973.466,1.58,1.69
7974.463,-0.84,1.31
7979.459,-1.77,1.22
7980.461,-2.56,1.25
7981.505,-1.84,1.21
7984.504,-0.47,1.4
7985.504,-2.62,1.59
7987.525,-0.2,1.4
7990.49,-4.72,1.35
7991.508,-5.48,1.48
7992.503,-3.52,1
7993.49,0.28,1.42
7994.475,-0.33,1.33
7995.478,-3.26,1.09
7996.48,-1.11,1.35
7997.468,-2.94,1.47
7998.482,-2.28,1.56
8000.478,-0.45,1.64
8001.491,-5.03,1.01
8002.476,-3.96,1.42
8007.528,1.18,1.66
8011.489,-3.7,1.56
8012.476,-6.7,1.21
8013.475,-6.04,1.31
8018.513,-1.33,1.39
8019.479,-3.12,1.32
8020.483,-4.45,1.01
8025.474,1.57,1.65
8026.478,-1.89,1.48
8524.857,-0.64,0.25
8532.702,-0.09,0.26
8533.832,-1.62,0.24
8535.892,-2.67,0.25
8537.764,-3.52,0.29
8540.869,-0.94,0.49
8540.882,-0.41,0.5
8541.876,0.3,0.35
8541.89,-0.43,0.37
8542.899,1.63,0.33
8543.8,0.22,0.23
8544.709,-0.23,0.26
8550.864,-1.94,0.21
8555.796,-0.41,0.21
8560.872,-2.93,0.23
8561.789,-1.77,0.35
8561.845,-1.59,0.27
8562.865,-0.45,0.23
8568.878,0.02,0.24
8573.671,-1.77,0.22
8599.913,2.71,0.45
8600.888,2.51,0.49
8602.9,1.57,0.25
8603.782,1.32,0.27
8604.575,1.88,0.42
8604.61,2.01,0.44
8604.713,2.13,0.39
8606.785,0.68,0.25
8608.776,2.45,0.23
8609.679,3.11,0.32
8612.853,0.54,0.36
8614.496,-1.6,0.44
8616.559,-2.5,0.25
8622.648,-0.84,0.27
8624.752,-1.84,0.38
8625.75,-2.07,0.33
8626.609,-2.64,0.26
8628.766,-2.2,0.3
8633.532,0.93,0.24
8635.789,-0.15,0.45
8637.481,-2.12,0.27
8638.604,-2.32,0.28
8639.672,-1.35,0.36
8642.711,-1,0.22
8645.576,0.43,0.36
8645.625,0.82,0.46
8647.71,-3.17,0.51
8667.58,1.21,0.38
8678.597,2.95,0.21
8684.58,2.18,0.22
8688.515,5.26,0.3
8700.565,2.62,0.28
8706.494,-0.54,0.21
8716.505,-0.15,0.2
8718.512,-0.02,0.27
8720.497,1.91,0.29
8726.485,0.91,0.38
8731.485,2.94,0.21
8737.484,1.17,0.26
8741.472,0,0.25
8752.476,1.53,0.48
8753.474,2,0.23
